"","price"
"1990-01-31",12054.35
"1990-02-28",11661.73
"1990-03-31",10755.87
"1990-04-30",9292.37
"1990-05-31",7290.88
"1990-06-30",5049.58
"1990-07-31",5618.21
"1990-08-31",3635.28
"1990-09-30",2705.01
"1990-10-31",3318.53
"1990-11-30",4377.27
"1990-12-31",4530.16
"1991-01-31",4023.72
"1991-02-28",5033.37
"1991-03-31",5139.94
"1991-04-30",5921.29
"1991-05-31",5610.72
"1991-06-30",5768.08
"1991-07-31",5178.06
"1991-08-31",4505.67
"1991-09-30",4867.13
"1991-10-31",4389.86
"1991-11-30",4378.5
"1991-12-31",4600.67
"1992-01-31",5391.63
"1992-02-29",5142.42
"1992-03-31",4800.94
"1992-04-30",4496.19
"1992-05-31",4496.58
"1992-06-30",4523.81
"1992-07-31",4108.52
"1992-08-31",3946.35
"1992-09-30",3524.21
"1992-10-31",3631.73
"1992-11-30",3675.01
"1992-12-31",3377.06
"1993-01-31",3374.56
"1993-02-28",4384.67
"1993-03-31",4825.29
"1993-04-30",4563.52
"1993-05-31",4267.9
"1993-06-30",3995.51
"1993-07-31",3960.38
"1993-08-31",3892.04
"1993-09-30",3832.69
"1993-10-31",4131.68
"1993-11-30",4353.9
"1993-12-31",6070.56
"1994-01-31",6115.12
"1994-02-28",5414.64
"1994-03-31",5249.22
"1994-04-30",5737.33
"1994-05-31",5891.56
"1994-06-30",5932.6
"1994-07-31",6720.05
"1994-08-31",7008.11
"1994-09-30",7091.13
"1994-10-31",6526.47
"1994-11-30",6363.72
"1994-12-31",7124.66
"1995-01-31",6307.85
"1995-02-28",6509.33
"1995-03-31",6524
"1995-04-30",5803.78
"1995-05-31",5674.55
"1995-06-30",5444.97
"1995-07-31",5180.42
"1995-08-31",4809.93
"1995-09-30",5033.06
"1995-10-31",4817.04
"1995-11-30",4777.2
"1995-12-31",5173.73
"1996-01-31",4763.4
"1996-02-29",4797.67
"1996-03-31",5032.35
"1996-04-30",6134.28
"1996-05-31",5966.82
"1996-06-30",6560.41
"1996-07-31",6106.97
"1996-08-31",6324.6
"1996-09-30",6504.68
"1996-10-31",6426.09
"1996-11-30",6826.06
"1996-12-31",6933.94
"1997-01-31",7283.4
"1997-02-28",7875.32
"1997-03-31",8004.2
"1997-04-30",8485.66
"1997-05-31",8163.11
"1997-06-30",9030.28
"1997-07-31",10066.35
"1997-08-31",9756.47
"1997-09-30",8708.83
"1997-10-31",7313.4
"1997-11-30",7797.19
"1997-12-31",8187.27
"1998-01-31",8085.47
"1998-02-28",9202.56
"1998-03-31",9091.16
"1998-04-30",8304.21
"1998-05-31",7903.34
"1998-06-30",7548.81
"1998-07-31",7653.51
"1998-08-31",6550.11
"1998-09-30",6833.95
"1998-10-31",7165.98
"1998-11-30",7177.22
"1998-12-31",6418.43
"1999-01-31",5998.32
"1999-02-28",6318.52
"1999-03-31",6881.72
"1999-04-30",7371.17
"1999-05-31",7316.57
"1999-06-30",8467.37
"1999-07-31",7326.75
"1999-08-31",8157.73
"1999-09-30",7598.79
"1999-10-31",7854.85
"1999-11-30",7720.87
"1999-12-31",8448.84
"2000-01-31",9744.89
"2000-02-29",9435.94
"2000-03-31",9854.95
"2000-04-30",8777.35
"2000-05-31",8939.52
"2000-06-30",8265.09
"2000-07-31",8114.92
"2000-08-31",7616.98
"2000-09-30",6185.14
"2000-10-31",5544.18
"2000-11-30",5256.93
"2000-12-31",4739.09
"2001-01-31",5936.2
"2001-02-28",5674.69
"2001-03-31",5797.92
"2001-04-30",5381.67
"2001-05-31",5048.86
"2001-06-30",4883.43
"2001-07-31",4352.98
"2001-08-31",4509.44
"2001-09-30",3636.94
"2001-10-31",3903.49
"2001-11-30",4441.12
"2001-12-31",5551.24
"2002-01-31",5872.14
"2002-02-28",5696.11
"2002-03-31",6167.47
"2002-04-30",6065.73
"2002-05-31",5675.65
"2002-06-30",5153.71
"2002-07-31",4940.38
"2002-08-31",4764.94
"2002-09-30",4191.81
"2002-10-31",4579.14
"2002-11-30",4646.69
"2002-12-31",4452.45
"2003-01-31",5015.16
"2003-02-28",4432.46
"2003-03-31",4321.22
"2003-04-30",4148.07
"2003-05-31",4555.9
"2003-06-30",4872.15
"2003-07-31",5318.34
"2003-08-31",5650.83
"2003-09-30",5611.41
"2003-10-31",6045.12
"2003-11-30",5771.77
"2003-12-31",5890.69
"2004-01-31",6375.38
"2004-02-29",6750.54
"2004-03-31",6522.19
"2004-04-30",6117.81
"2004-05-31",5977.84
"2004-06-30",5839.44
"2004-07-31",5420.57
"2004-08-31",5765.54
"2004-09-30",5845.69
"2004-10-31",5705.93
"2004-11-30",5844.76
"2004-12-31",6139.69
"2005-01-31",5994.23
"2005-02-28",6207.83
"2005-03-31",6005.88
"2005-04-30",5818.07
"2005-05-31",6011.56
"2005-06-30",6241.94
"2005-07-31",6311.98
"2005-08-31",6033.47
"2005-09-30",6118.61
"2005-10-31",5764.3
"2005-11-30",6203.47
"2005-12-31",6548.34
"2006-01-31",6532.18
"2006-02-28",6561.63
"2006-03-31",6613.97
"2006-04-30",7171.77
"2006-05-31",6846.95
"2006-06-30",6704.41
"2006-07-31",6454.58
"2006-08-31",6611.77
"2006-09-30",6883.05
"2006-10-31",7021.32
"2006-11-30",7567.72
"2006-12-31",7823.72
"2007-01-31",7699.64
"2007-02-28",7901.96
"2007-03-31",7884.41
"2007-04-30",7875.42
"2007-05-31",8144.95
"2007-06-30",8883.21
"2007-07-31",9287.25
"2007-08-31",8982.16
"2007-09-30",9476.52
"2007-10-31",9711.37
"2007-11-30",8586.4
"2007-12-31",8506.28
"2008-01-31",7521.13
"2008-02-29",8412.76
"2008-03-31",8572.59
"2008-04-30",8919.92
"2008-05-31",8619.08
"2008-06-30",7523.54
"2008-07-31",7024.06
"2008-08-31",7046.11
"2008-09-30",5719.28
"2008-10-31",4870.66
"2008-11-30",4460.49
"2008-12-31",4591.22
"2009-01-31",4247.97
"2009-02-28",4557.15
"2009-03-31",5210.84
"2009-04-30",5992.57
"2009-05-31",6890.44
"2009-06-30",6432.16
"2009-07-31",7077.71
"2009-08-31",6825.95
"2009-09-30",7509.17
"2009-10-31",7340.08
"2009-11-30",7582.21
"2009-12-31",8188.11
"2010-01-31",7640.44
"2010-02-28",7436.1
"2010-03-31",7920.06
"2010-04-30",8004.25
"2010-05-31",7373.98
"2010-06-30",7329.37
"2010-07-31",7760.63
"2010-08-31",7616.28
"2010-09-30",8237.78
"2010-10-31",8287.09
"2010-11-30",8372.48
"2010-12-31",8972.5
"2011-01-31",9145.35
"2011-02-28",8599.65
"2011-03-31",8683.3
"2011-04-30",9007.87
"2011-05-31",8988.84
"2011-06-30",8652.59
"2011-07-31",8644.18
"2011-08-31",7741.36
"2011-09-30",7225.38
"2011-10-31",7587.69
"2011-11-30",6904.12
"2011-12-31",7072.08
"2012-01-31",7517.08
"2012-02-29",8121.44
"2012-03-31",7933
"2012-04-30",7501.72
"2012-05-31",7301.5
"2012-06-30",7296.28
"2012-07-31",7270.49
"2012-08-31",7397.06
"2012-09-30",7715.16
"2012-10-31",7166.05
"2012-11-30",7580.17
"2012-12-31",7699.5
"2013-01-31",7850.02
"2013-02-28",7897.98
"2013-03-31",7918.61
"2013-04-30",8093.66
"2013-05-31",8254.8
"2013-06-30",8062.21
"2013-07-31",8107.94
"2013-08-31",8021.89
"2013-09-30",8173.87
"2013-10-31",8450.06
"2013-11-30",8406.83
"2013-12-31",8611.51
